,name,address,icon,userComment,tags
203,Chocolatería San Gines,"Pasadizo San Ginés, 5, 28013 Madrid, Madrid, Espagne",generic,,Chocolaterie 🍫#À faire
204,San Miguel Market,"Plaza de San Miguel, 3, 28005 Madrid, Espagne",restaurant,,Restaurant#À faire
205,Restaurante Ten Con Ten,"Cl. de Ayala, 6, 28001 Madrid, Espagne",restaurant,,Restaurant#À faire
206,Restaurante Casa Lucio,"Calle Cava Baja, 35, BAJO, Madrid Madrid 28005",restaurant,,Restaurant#💸💸#À faire
207,Frida,"Calle de San Gregorio 8, Madrid Madrid 28003",restaurant,,Restaurant#💸💸#À faire
208,El Kiosko,"Av. de Josep Tarradellas, 153, 08029 Barcelona",restaurant,,Restaurant#🍴 inconnu#À faire
209,Oval,"Carrer de València, 199 Barcelona Spain",restaurant,,Restaurant#À faire
210,Kiosko de Bacoa,"Av. del Marquès de l'Argentera, 1 bis, 08003 Barcelona, Barcelona, Espagne",restaurant,,Restaurant#À faire
211,Santa Burg,"Carrer del Vallespir, 51, 08014 Barcelona, Barcelona, Espagne",restaurant,,Restaurant#À faire
212,BRO Room,"Carrer de Còrsega, 562, 08025 Barcelona, Espagne",restaurant,,Restaurant#💸#À faire
213,Timesburg Paris,"Carrer de París, 95, 08029 Barcelona, Barcelona, Espagne",restaurant,,Restaurant#À faire#TheFork 🍴
214,DE PAULA - L´HAMBURGUESERIA DEL POBLE SEC,"Carrer de la Creu dels Molers, 65, 08004 Barcelona, Barcelona, Espagne",restaurant,,💸#Burger 🍔🍟#À faire
215,Pim Pam Plats,"Carrer del Rec, 18 08003 S. Pere, Santa Caterina, i la Rib. Barcelona Spain",restaurant,,Restaurant#À faire
216,Makamaka,"Passeig de Joan de Borbó Comte de Barcelona, 76, 08039 Barcelona, Barcelona, Espagne",restaurant,,Restaurant#À faire
217,KERB Camden Market,"Camden Market, Camden Lock Pl, London NW1 8AF, Royaume-Uni",restaurant,,Restaurant#🍴 inconnu#À faire
218,Jardin des artistes,"93160 Noisy-le-Grand, France",beach,,Parcs
219,Pink Mamma,"20 Rue de Douai, 75009 Paris, France",restaurant,,Big Mamma#Restaurant#💸💸#À faire
220,MELT OBERKAMPF,"74 Rue Folie Méricourt, Paris 75011",restaurant,,💸💸#Viande#Restaurant#À faire
221,Oh mon Cake,"154 Rue Saint-Honoré, 75001 Paris, France",restaurant,,Pâtisseries#💸💸#À faire
222,Boulangerie JOSEPH,"42 Rue des Petits Champs, 75002 Paris, France",restaurant,,Pâtisseries#🍴 inconnu
223,DE BELLES MANIERES,"5 Rue de Turbigo, 75001 Paris, France",restaurant,,Pâtisseries#Boulangerie 🥖#💸💸#Validé ✅
224,246,"Pont de Créteil, 94100 Saint-Maur-des-Fossés, France",generic,,💸#Grec 🥙#Halal#Validé ✅
225,La Folie du Burger,"5 Avenue de Toulon, 13006 Marseille, France",restaurant,,💸#Burger 🍔🍟#À faire
226,Homer Lobster - Rambuteau,"21 Rue Rambuteau, 75004 Paris, France",restaurant,,💸#Restaurant#Poisson 🐟
227,Le Special,2 Rue de la Paix 94600 Choisy-le-Roi France,restaurant,J’ai pris un wich. Vraiment bon et pas cher. Pour 7€ t’es rassasié pour le reste de la journée.,💸#Grec 🥙#Halal#Validé ✅
228,Papa Gâteau Sarl,"27 Rue de Montreuil, 94300 Vincennes, France",restaurant,,💸💸#Boulangerie 🥖#À faire
229,Le Mont Liban,"42 Boulevard des Batignolles, 75017 Paris, France",restaurant,,Libanais 🇱🇧#💸💸#À faire
230,Le Must,"45 Boulevard de Stalingrad, 94400 Vitry-sur-Seine, France",restaurant,,💸#Grec 🥙#À faire
231,Pizza de ouf,"10 Rue des Gardes, 75018 Paris, France",restaurant,,💸#Pâtes 🍝#Pizza 🍕#À faire
