,name,address,icon,userComment,tags
364,Chocolats Favoris,150 Rue Ste-Catherine O Montréal H2X Canada,supermarket,,Florian On Air#Chocolaterie 🍫#💸💸#À faire
365,Brenda's French Soul Food,"652 Polk St, San Francisco, CA 94102, États-Unis",restaurant,,Florian On Air#💸💸#Soul Food#À faire
366,El Fogon,"Av Constituyentes, DOWNTOWN, 77720 Playa del Carmen, Q.R., Mexique",restaurant,,Florian On Air#Hispanique#À faire
367,Key Lime Pie Bakery,"412 Greene Street, Key West FL 33040",music,,Florian On Air#Pâtisseries#💸💸#À faire
368,Flanigan's Seafood Bar and Grill,"2721 Bird Rd, Coconut Grove, FL 33133, États-Unis",restaurant,,Florian On Air#Poisson 🐟#Bar#À faire
369,Big Pink,"157 Collins Ave Miami Beach, FL 33139 USA",fastfood,,Florian On Air#Burger 🍔🍟#À faire
370,Puerto Sagua,"700 Collins Ave Miami Beach, FL 33139 USA",restaurant,,Florian On Air#Hispanique#À faire
371,Little Cupcake Bakeshop,"30 Prince St, New York, NY 10012, États-Unis",restaurant,,Florian On Air#Pâtisseries#À faire
372,Flip'n Toss,"82 Christopher St, New York, NY 10014, États-Unis",restaurant,,Florian On Air#💸💸#Burger 🍔🍟#À faire
373,"Burger, Inc.","353 W 14th St, New York, NY 10014, États-Unis",restaurant,,Florian On Air#Burger 🍔🍟#À faire
374,Red Lobster,"5 Times Square, New York, NY 10036, États-Unis",restaurant,,Florian On Air#Poisson 🐟#À faire
375,Chick'nCone,"353 W 14th St, New York, NY 10014, États-Unis",restaurant,,Florian On Air#Poulet 🐔#À faire
376,Jacob Soul Food,"373 Malcolm X Blvd New York, NY 10027 USA",restaurant,,Florian On Air#Soul Food#À faire
377,Tutti Sensi,14 Rue Norvins 75018 Paris France,supermarket,,💸#À faire#Glaces 🍨🍦
378,Snack le Magenta,48 Rue du Chevalier de la Barre 75018 Paris France,supermarket,,Pâtisseries#💸#À faire
379,Le vrai Paris,"33 Rue des Abbesses, 75018 Paris, France",cafe,,Restaurant#💸💸#À faire#TheFork 🍴#2️⃣
380,Le Grenier à Pain Abbesses Bodian,38 rue Des Abesses Paris 75018,restaurant,,Boulangerie 🥖#💸#À faire
381,Soon Grill,"78 Rue des Tournelles, 75003 Paris, France",restaurant,,💸💸#Asiat#Halal#À faire#TheFork 🍴
382,Burger Green,"120 Rue du Général Leclerc, 76000 Rouen, France",restaurant,,Burger 🍔🍟#Halal#À faire#TheFork 🍴
383,Happy Days,"14552 Ventura Blvd, Sherman Oaks, CA 91403, États-Unis",cafe,,Restaurant#À faire
384,L'Antica Pizzeria da Michele,"Via Cesare Sersale, 1, 80139 Napoli NA, Italie",restaurant,,Pizza 🍕#À faire
385,Owit,"91 Rue Didot, 75014 Paris, France",restaurant,,Grec 🥙#🍴 inconnu#À faire
386,L'escale De Ménilmontant,"137 Boulevard de Ménilmontant, 75011 Paris, France",generic,,Grec 🥙#À faire
387,Manhattan Hot Dog,7 Rue de la Roquette 75011 Paris France,fastfood,,Hot-Dog 🌭#🍴 inconnu#À faire
388,American candy,"147 Oxford St, Soho, London W1D 2JE, Royaume-Uni",shopping,,Fait ✔️#À faire
389,The Street Pig BBQ,"Lambeth, Londres SE1 8XX, Royaume-Uni",restaurant,,Viande#À faire
390,L'Été en Pente Douce,"8 Rue Paul Albert, 75018 Paris, France",restaurant,,Restaurant#À faire
391,Cantine California,"46 rue de turbigo, 75003 Paris, France",restaurant,Commandes par traiteur disponible ,💸💸#Restaurant#À faire
392,Boneshaker Donuts,"86 Rue d'Aboukir, 75002 Paris, France",restaurant,,Pâtisseries#Validé ✅
393,Starvin' Joe,"42 Rue de Charonne, 75011 Paris, France",restaurant,,Burger 🍔🍟#À faire
394,Jun,"1 Rue de Condé, 75006 Paris, France",restaurant,Japonais,Asiat#💸💸#À faire#TheFork 🍴#2️⃣
395,Casa San Pablo,5 Rue de Sévigné Paris France,restaurant,,Restaurant#💸#À faire
396,Blueberry Maki Bar,"6 Rue du Sabot, 75006 Paris, France",restaurant,Japonais ,💸💸#Asiat#Réservation#À faire#2️⃣
397,Pleyel Burger,"Carrefour Pleyel, 93200 Saint-Denis, France",restaurant,,Burger 🍔🍟#🍴 inconnu#À faire
398,31 Street - Burgers,"31 Rue Gauthey, 75017 Paris, France",restaurant,,Burger 🍔🍟#🍴 inconnu#À faire#TheFork 🍴
399,La grotte de Chypre,"85 rue mouffetard Paris, 75005 Paris, France",restaurant,,Grec 🥙#À faire
400,Caffe Concerto Piccadilly,"29-31 Piccadilly, Piccadilly, Mayfair, London W1J 0LF, Royaume-Uni",restaurant,,Pâtisseries#À faire
401,Peggy Porschen - Belgravia,"116 Ebury Street, Belgravia London SW1W 9QQ",shopping,,Salon de thé 🍵#À faire
402,Don Luigi,"49 Brixton Station Rd, Brixton, London SW9 8PQ, Royaume-Uni",restaurant,,Pizza 🍕#À faire
403,Other Side fried,"Pop brixton, 49 Brixton station road, Brixton, London SW9 8PQ, Royaume-Uni",restaurant,,Burger 🍔🍟#Validé ✅
404,Le Medaillon,85 Avenue de la République 94800 Villejuif France,restaurant,,Restaurant#🍴 inconnu#À faire
405,Snack Firat,325 Avenue Jean Jaurès 95100 Argenteuil France,supermarket,,Grec 🥙#À faire
406,La Mangerie,"7 Rue de Jarente, 75004 Paris, France",restaurant,,Restaurant#🍴 inconnu#À faire
407,La Crème de Paris,"4 Rue du Faubourg Montmartre, 75009 Paris, France",shopping,,Pâtisseries#💸💸#À faire
408,Sette Pizza - Paris,"38 Rue du Faubourg Saint-Denis, 75010 Paris, France",restaurant,,Pizza 🍕#À faire#💸💸#TheFork 🍴
409,Ozio,"29 bis Rue Saint-Didier, 75116 Paris, France",restaurant,,Pizza 🍕#🍴 inconnu#À faire
410,Karl,"6 Place du Parlement, 33000 Bordeaux, France",restaurant,,Restaurant#💸#À faire
411,Applebee's,"205 W 50th St, New York, NY 10019, États-Unis",restaurant,,Restaurant#À faire
412,Di Più,"85 Quai des États-Unis, 06300 Nice, France",restaurant,,Italien 🇮🇹#💸💸#À faire
413,Lombardo's,"Nieuwe Spiegelstraat 50, 1017 DG Amsterdam, Pays-Bas",restaurant,,Burger 🍔🍟#À faire
414,Des gâteaux et du pain,"63 Boulevard Pasteur, 75015 Paris, France",restaurant,,Pâtisseries#Boulangerie 🥖#💸💸#Validé ✅
415,faggio,",France, 72 Rue de Rochechouart, 75009 Paris, France",restaurant,,Pizza 🍕#🍴 inconnu#À faire
416,Carl's Jr,"728 Avenue de Draguignan, 83130 La Garde, France",restaurant,,🍴 inconnu#Burger 🍔🍟#À faire
417,L'atelier sur la braise - Paris,"23 Rue des Vignoles, 75020 Paris, France",restaurant,,Restaurant#💸💸#Viande#À faire
418,Fat's Chicken and Waffles,"2726 E Cherry St, Seattle, WA 98122, États-Unis",restaurant,,Soul Food#À faire
419,Flora Danica,"142 Avenue des Champs-Elysées, Paris 75008",restaurant,,Restaurant#💸💸#Poisson 🐟#À faire
420,Action,"30 Boulevard Paul Vaillant Couturier, 94200 Ivry-sur-Seine, France",shopping,,💸#Validé ✅#À bats la hess
421,La Maison du Dim Sum,"4 Rue des Fossés Saint-Jacques, 75005 Paris, France",restaurant,Chinois ,💸💸#Asiat#À faire
422,Flying Circus,"63 Rue Galande, 75005 Paris, France",restaurant,,Pâtisseries#Validé ✅#💸#RIP (Fermé definitivement)
423,Baba Zulu,23 Rue Beaurepaire Paris 75010,restaurant,,Soul Food#💸💸
424,Montale Parfums,"68 Rue Pierre Charron, 75008 Paris, France",shopping,,💸💸💸#Parfumerie#À faire
425,Maison Honoré,"332 Route d'Enghien, 95100 Argenteuil, France",restaurant,,Pâtisseries#🍴 inconnu#À faire
426,Pizza Di Loretta - Rodier,62 Rue Rodier Paris 75009,restaurant,,Pizza 🍕#💸💸#À faire
427,Babalou,"4 Rue Lamarck, 75018 Paris, France",restaurant,,Pizza 🍕#💸💸#À faire#TheFork 🍴
428,Le Papacionu Paris,"7 Rue Cadet, 75009 Paris, France",restaurant,,Pizza 🍕#💸💸#Zenchef
429,Kong,"1 Rue du Pont Neuf, 75001 Paris, France",restaurant,,Restaurant#Réservation#💸💸💸#À faire
430,Caucase House,"8 Avenue Georges Durand, 72100 Le Mans, France",generic,,Restaurant#🍴 inconnu#À faire
431,Holy Moly Gourmet Burger,"2 Quai Vendeuvre, 14000 Caen, France",restaurant,,💸💸#Burger 🍔🍟#Validé ✅
432,Safran,"11 Rue Saint-Sauveur, 14000 Caen, France",restaurant,,Grec 🥙#🍴 inconnu#À faire
433,Le P'tit Chou Normand,"65 Rue Saint-Pierre, 14000 Caen, France",restaurant,,Boulangerie 🥖#Validé ✅#💸
434,La Buona Tavola,"47 Rue Saint-Sauveur, 14000 Caen, France",restaurant,,Restaurant#🍴 inconnu#À faire
435,Pimp My Burger,"10 Rue Anatole France, 92800 Puteaux, France",restaurant,,Burger 🍔🍟#Halal#💸💸#À faire
436,LE PACHA,"24 Avenue de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",restaurant,,Grec 🥙#Halal#Validé ✅#💸
437,Snack Taco's,65 Avenue Jean Jaurès 75019 Paris France,restaurant,,Burger 🍔🍟#Halal#🍴 inconnu#À faire
438,dreamfood,"41 Rue Mouraud, 75020 Paris, France",restaurant,,Snack#🍴 inconnu#À faire
439,Edwart Chocolatier,"17 Rue Vieille du Temple, 75004 Paris, France",shopping,,Chocolaterie 🍫#À faire
440,Pancia,"10 Rue des Petites Écuries, 75010 Paris, France",restaurant,,Restaurant#💸💸#À faire
441,Salatim,"15 Rue des Jeuneurs, 75002 Paris, France",restaurant,,Restaurant#💸💸#À faire#Zenchef
442,Arby's,"611 8th Ave, New York, NY 10018, États-Unis",restaurant,,Restaurant#💸💸#À faire
443,La tête dans les nuages,"5 Boulevard des Italiens, 75002 Paris, France",generic,,Arcade 👾#💸💸
444,Planete Regal,"65 Route du Pavé Blanc, 92140 Clamart, France",restaurant,,Grec 🥙#🍴 inconnu#À faire
445,Twenty Time,93 Avenue Aristide Briand France,fastfood,Pas ouf askip,Grec 🥙#💸#À faire
446,V.N.P.,"38 Rue Jean-Pierre Timbaud, 75011 Paris, France",restaurant,Les grecs coûtent entre 8 à 10€,Grec 🥙#💸#À faire
447,Aux Merveilleux de Fred,1 Rue du Midi 94300 Vincennes France,supermarket,Pas mal mais je trouve les brioches meilleures que les autres trucs,💸💸#Pâtisseries#Validé ✅
448,M.S factory,"112 Route de la Reine, 92100 Boulogne-Billancourt, France",restaurant,,Halal#💸💸#À faire
449,Tricotin,"15 Av. de Choisy, 75013 Paris, France",restaurant,,Asiat#Validé ✅
450,Librairie EMET,"250 bd voltaire, 75011 Paris",library,,Librairie#À faire
451,Eric Kayser,"18 Rue du Bac, 75007 Paris, France",restaurant,,💸#À faire
452,PNY OBERKAMPF,"96 Rue Oberkampf, 75011 Paris, France",restaurant,,💸💸#Burger 🍔🍟#Validé ✅
453,Café Citron,"60 Av. des Champs-Élysées, 75008 Paris, France",cafe,,Café#💸💸#À faire
454,Pizzeria Les Jardins d'Italie,"61-63 Rue Ledru Rollin, 36000 Châteauroux, France",restaurant,,Pizza 🍕#🍴 inconnu#À faire
455,Maker,"32 Rue des Jeuneurs, 75002 Paris, France",restaurant,,💸💸#Pizza 🍕#Validé ✅#TheFork 🍴
456,O'Zaman Spécialités Turques,"20 Avenue de Fontainebleau, 94270 Le Kremlin-Bicêtre, France",restaurant,,Grec 🥙#💸#Validé ✅
457,Mangez Et Cassez-Vous!,64 Rue Alexandre Dumas 75011 Paris France,fastfood,,Burger 🍔🍟#💸#À faire
458,Au Paradis Tropical,"6 Rue Custine, 75018 Paris, France",restaurant,,Restaurant#Africain#💸💸#À faire#TheFork 🍴
459,At Homes,"6 Rue Gaston Philippe, 93200 Saint-Denis, France",restaurant,,Poulet 🐔#Burger 🍔🍟#🍴 inconnu#À faire
460,Atelier P1,"157 Rue Marcadet, 75018 Paris, France",restaurant,Ateliers de pains chaque mercredi ,À faire#Boulangerie 🥖
461,L'Atmosphère Aulnay sous Bois,Rue Ambroise Paré 93600 Aulnay-sous-Bois France,restaurant,,Grec 🥙#À faire
462,Taiba,80 Avenue de Stalingrad 93200 Saint-Denis France,restaurant,,Grec 🥙#🍴 inconnu#À faire
463,Snack Churasqueira de Drancy,75 Avenue Henri Barbusse 93700 Drancy France,supermarket,,Florian On Air#Snack#À faire
464,La Marinade,"110 Rue du 4 Août 1789, 69100 Villeurbanne, France",restaurant,,Tacos 🇫🇷#À faire
465,Chez Ann Paradis,9 Rue de Paradis Paris France,restaurant,Chinois,Asiat#À faire
466,Spring Bowl,"10 Rue Bleue, 75009 Paris, France",restaurant,Vietnamien,Asiat#💸💸#À faire#TheFork 🍴
467,La Boulangerie Moderne,"16 Rue des Fossés Saint-Jacques, 75005 Paris, France",restaurant,,Boulangerie 🥖#À faire
468,Gino Sorbillo Antica Pizzeria,"Via dei Tribunali, 32, 80134 Napoli, Italie",restaurant,,Pizza 🍕#À faire
469,Chez Antoine,3 Avenue de la République 94300 Vincennes France,restaurant,,Pizza 🍕#Validé ✅#💸
470,786 Choisy-le-Roi,4 Boulevard de Stalingrad 94600 Choisy-le-Roi France,fastfood,,Grec 🥙#À faire
471,Les Grands Buffets,11100 Narbonne France,restaurant,,Restaurant#À faire
472,Les Commères,"31 Rue Victor Massé, 75009 Paris, France",restaurant,,Pâtisseries#💸💸#À faire
473,Crousty,"6 Avenue de Paris, 94380 Bonneuil-sur-Marne, France",restaurant,,Validé ✅#Grec 🥙#Burger 🍔🍟#💸
474,Boulangerie Jean Noèl Julien,"1 Rue de Provence, 75009 Paris, France",restaurant,,Boulangerie 🥖#Validé ✅
475,GEMÜSE - Berliner Kebap,"61 Rue Ramey, 75018 Paris, France",restaurant,,Grec 🥙#À faire
476,Fricotin,"85 bis avenue de wagram, 75017 Paris, France",shopping,,Crêperie#💸💸#À faire#TheFork 🍴
477,Yummy & Guiltfree,3 rue du Temple 75004 Paris,fastfood,,Pâtisseries#À faire
478,Burger Road,"49 RUE ROBERT DUPONT, 92600 Asnières, Ile-De-France, France",restaurant,,Burger 🍔🍟#Halal#💸#À faire
479,John Circus,"103 Rue du Faubourg Saint-Denis, 75010 Paris, France",bar,,Pizza 🍕#À faire
480,Africa Delice,75015 Paris France,business,,🍴 inconnu#Maghreb/Moyen-Orient#À faire
481,Maison Bayat,"112 Boulevard de Magenta, 75010 Paris, France",restaurant,,Pâtisseries#Boulangerie 🥖#💸#Validé ✅
482,Le VIP Paris - Yacht Hôtel,"9 Port de la Rapée, 75012 Paris, France",lodging,,Hotel#À faire
483,Aï Hsu,"16 Rue Saint-Sébastien, 75011 Paris, France",restaurant,Japonais ,Asiat#💸💸#À faire#TheFork 🍴
484,Ba Mien,180 Avenue de Choisy Paris France,restaurant,Vietnamien,Asiat
485,La Mangue Verte,"100 Avenue Ivry, 75013 Paris, France",restaurant,,Asiat#💸💸#À faire
486,Hibao Resto,"28 Rue de Malte, 75011 Paris, France",restaurant,,Asiat#💸💸#À faire
487,Volver,"34 Rue Keller, 75011 Paris, France",restaurant,,Restaurant#💸💸#À faire
488,Chungking Express,5 Rue de la Tour d'Auvergne 75009 Paris France,restaurant,Chinois ,Asiat#💸💸#À faire
489,Tonkatsu Tombo,14 Rue de l'Arrivée Paris France,restaurant,Japonais,Asiat#🍴 inconnu#À faire
490,CHEZ HAKI,"43 Rue des Gravilliers, 75003 Paris, France",restaurant,,Asiat#💸💸#À faire#TheFork 🍴
491,BBQ Cadet,20 Rue Lamartine Paris France,restaurant,Coréen ,Asiat#💸💸#À faire#TheFork 🍴
492,Bong Republique - Restaurant Coréen,6 Avenue de la République Paris France,restaurant,,Asiat#💸💸#Réservation#À faire
493,Maison de la Culture Armenienne,17 Rue Bleue Paris France,restaurant,,Europe de l'Est#À faire
494,Bacabon Izakaya,"90 Rue de Charonne, 75011 Paris, France",restaurant,Japonais,Asiat#💸💸#À faire#TheFork 🍴
495,Petit Bao,"116 rue Saint-Denis, Paris 75002",restaurant,Chinois,Asiat#💸💸#À faire
496,Junglii,"78 Rue de la Jonquière, 75017 Paris, France",restaurant,,Asiat#À faire#TheFork 🍴
497,Rajpoot,31 Rue Charles de Gaulle 94140 Alfortville France,restaurant,Indien,Asiat#💸💸#À faire
498,Bobae,"38 Rue Pascal, 75013 Paris, France",restaurant,,Asiat#💸💸#À faire
499,Bao Shelter,"3 Rue Saint-Marc, 75002 Paris, France",restaurant,,Asiat#Burger 🍔🍟#💸💸#Validé ✅
500,AUSMANE PARIS,"26 Passage Verdeau, 75009 Paris, France",shopping,,Parfumerie#💸💸#À faire
501,AU BRAZIER MONTREUIL,"128 Boulevard Chanzy, 93100 Montreuil, France",restaurant,,Poulet 🐔#💸#Validé ✅
502,Hawaiian poké,"152 Rue Montmartre, 75002 Paris, France",restaurant,,Hawaïen#💸💸#À faire
503,Le Camion Qui Fume,"Paris-2E-Arrondissement, 168 Rue Montmartre, 75002 Paris-2E-Arrondissement, France",restaurant,,Burger 🍔🍟#💸💸#Validé ✅
504,GOIKO,"106 Rue de Richelieu, 75002 Paris, France",restaurant,,Burger 🍔🍟#💸💸#Validé ✅
505,Le Galuchat,40 Rue des Lois 31000 Toulouse France,restaurant,,Crêperie#À faire
506,Patisserie Conte,"37 Rue Croix Baragnon, 31000 Toulouse, France",restaurant,,Boulangerie 🥖#Validé ✅
507,La Bonbonniere,41 Rue des Tourneurs 31000 Toulouse France,supermarket,,Pâtisseries#💸💸#À faire
508,Midi Minuit,"3 Place du Peyrou, 31000 Toulouse, France",restaurant,,Restaurant#🍴 inconnu#À faire
509,Le Coyote Burgers,"40 Rue des Lois, 31000 Toulouse, France",restaurant,,Burger 🍔🍟#💸#À faire
510,Karl Maison du Hot Dog,"14 Rue Temponières, 31000 Toulouse, France",restaurant,,Hot-Dog 🌭#💸💸#À faire
511,Au Temple des Douceurs,"8 Rue de Metz, 31000 Toulouse, France",,,Pâtisseries#À faire
512,Le Paradis Gourmand,45 Rue des Tourneurs 31000 Toulouse France,supermarket,,💸#Validé ✅#Divers
513,Puok Burger Store,"Via Francesco Cilea, 104, 80127 Napoli, Italie",restaurant,,Burger 🍔🍟#À faire
514,Feira Fresca,"64 Boulevard de la République, 92100 Boulogne-Billancourt",donuts,,Portugal 🇵🇹#Epicierie#💸#À faire
515,BigBang Restaurant,"4 Rue Gay-Lussac, 75005 Paris, France",,Coréen,Asiat#💸💸#À faire#TheFork 🍴
516,Nabou Pastel,"18 Avenue Edouard Vaillant, 93500 Pantin, France",restaurant,,Africain#💸💸#Validé ✅#Halal
517,Giovanni Boulangerie Contemporaine,"49 Rue Chardon Lagache, 75016 Paris, France",restaurant,,Boulangerie 🥖#Validé ✅#💸
518,La Pâtisserie Cyril Lignac,"24 Rue Paul Bert, 75011 Paris, France",restaurant,L'équinoxe est délicieux ,Pâtisseries#💸💸#Validé ✅
519,Alfred Burger - Noisy,"2 Avenue Aristide Briand, 93160, Noisy-le-Grand",restaurant,,Burger 🍔🍟#💸💸#À faire
520,Onyxia,2 Avenue du Général de Gaulle 93110 Rosny-sous-Bois France,restaurant,,Restaurant#🍴 inconnu#À faire
521,Coriandre Paris,"104 Rue de l'Ouest, 75014 Paris, France",restaurant,Indien,💸💸#Asiat#Réservation#À faire#TheFork 🍴
522,Le Merci,29 Rue Poissonnière 75002 Paris France,restaurant,,Café#À faire
523,Uma Nota,"86 Rue Réaumur, 75002 Paris, France",restaurant,,Hispanique#💸💸#À faire#TheFork 🍴
524,Raton Buveur,"39 Rue Amelot, 75011 Paris, France",bar,,Restaurant#💸💸#Hispanique#À faire
525,La Mezcaleria Paris,"13 Bd du Temple, 75003 Paris, France",bar,,💸💸#Hispanique#À faire
526,Le Fil Rouge Café,"3 Rue René Boulanger, 75010 Paris, France",restaurant,,💸💸#Burger 🍔🍟#À faire#TheFork 🍴
527,Golosino,"4 Square Vermenouze, 75005 Paris, France",restaurant,,💸#Pizza 🍕#À faire
528,L'Arobase Café,"101 Rue Chevaleret, 75013 Paris, France",cafe,,Café#🍴 inconnu#À faire
529,Little morocco,"119 Rue Ordener, 75018 Paris, France",restaurant,,Maghreb/Moyen-Orient#💸💸#À faire#TheFork 🍴
530,Sushi Itchi,"1 Rue du Moulinet, 75013 Paris, France",restaurant,,💸💸#Asiat#À faire
531,Puerto Cacao - Paris 10,"103 Rue du Faubourg Saint-Denis, 75010 Paris, France",shopping,,Chocolaterie 🍫#🍴 inconnu#À faire
532,Chez Sam,"118 Avenue de Clichy, 75017 Paris, France",restaurant,,💸💸#Libanais 🇱🇧#À faire
533,Le Comptoir Général,"84 Quai de Jemmapes, 75010 Paris, France",bar,,Restaurant#Réservation#💸💸#À faire#Zenchef
534,Rice Trotters,"16 Rue Saint-Augustin, 75002 Paris, France",restaurant,,Restaurant#🍴 inconnu#À faire
535,Marcelle (Marlon),"159 Rue de Grenelle, 75007 Paris, France",restaurant,,Restaurant#💸💸#À faire
536,Villa Ferretti,"102 Boulevard du Président Wilson, 33000 Bordeaux, France",restaurant,,Restaurant#💸💸#À faire#TheFork 🍴
537,Brasserie L'Excelsior,"50 Rue Henri Poincaré, 54000 Nancy, France",restaurant,,Restaurant#💸💸#À faire#Zenchef
538,Mme Shawn Thai Bistrot,"18 Rue Caffarelli, 75003 Paris, France",restaurant,Thai,💸💸#Asiat#À faire#TheFork 🍴
539,Hakata Choten,"53 Rue des Petits Champs, 75001 Paris, France",restaurant,Japonais,💸💸#Asiat#À faire
540,Cosi,"54 Rue de Seine, 75006 Paris, France",restaurant,,💸#Sandwich 🥪#À faire
541,CHEESERS - RESTAURANT REPUBLIQUE ET FOOD TRUCK,3 rue Yves Toudic Paris 75010,restaurant,,Sandwich 🥪#À faire#TheFork 🍴
542,Bòbún,"Passage des Panoramas, 75002 Paris",fastfood,Vietnamien,Asiat#Burger 🍔🍟#À faire
543,Burger Road,49 Rue Robert Dupont 92600 Asnières-sur-Seine France,supermarket,,Burger 🍔🍟#À faire
544,Une Glace à Paris,"15 Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",museum,,Glaces 🍨🍦#💸💸#À faire
545,Le Pain Quotidien Varenne,"25 rue de Varenne, Paris Île-de-France 75007",restaurant,,Boulangerie 🥖#À faire
546,Les Pères PoPulaires,"46 Rue de Buzenval, 75020 Paris, France",restaurant,,Bar#À faire
547,Jacques Genin Turenne,133 rue de Turenne 75003 Paris,restaurant,"Coumarine, Praliesse, L, Tonka Teck 😋🤤",💸💸#Chocolaterie 🍫#Validé ✅
548,Pascade,14 Rue Daunou Paris France,restaurant,,Restaurant#💸💸#Réservation#À faire
549,Café foufou,"10 Rue Oberkampf, 75011 Paris, France",cafe,,Café#À faire
550,Librairie Présence Africaine,"25 bis Rue des Écoles, 75005 Paris, France",shopping,,Librairie#À faire
551,Tamery,19 Rue du Chalet 75010 Paris France,library,,Librairie#À faire
552,Kott Café,"19 Rue Ternaux, 75011 Paris, France",cafe,,Café#À faire
553,Rodizio Brazil - Colombes,157 Bd Charles De Gaulle Colombes 92700,restaurant,,Viande#À faire
554,Afi Papilles,"21 Rue de la Mairie, 77420 Champs-sur-Marne, France",restaurant,,Pâtisseries#💸💸#À faire
555,808 Mac and Cheese,"21 Boulevard du Temple, 75003 Paris, France",restaurant,,Pâtes 🍝#À faire
556,Constantia,94 Rue des Martyrs,restaurant,,Pizza 🍕#💸💸#À faire
557,Maison Castro,25 Rue Eugène Jumin 75019 Paris France,wine,,Sandwich 🥪#À faire
558,Afrik asian soul,"23 Rue Eugène Jumin, 75019 Paris, France",restaurant,,Africain#Validé ✅#💸💸
559,Heat's,127 Avenue Jules Vallès 91200 Athis-Mons France,fastfood,,Grec 🥙#À faire
560,ALDI,12 rue De L'Université Noisy Le Grand 93160,supermarket,,À bats la hess#💸#Validé ✅
561,CRISPY SOUL Paris 15,101 Rue Brancion Paris 75015,restaurant,"L’accueil, le service et le repas étaient au top 👌🏾. ",Soul Food#💸💸#Validé ✅#Halal
562,Boulangerie Loquer Jean-Pierre,25 Rue des Morillons 75015 Paris France,supermarket,,Boulangerie 🥖#À faire
563,Boulangerie Max Poilâne,87 Rue Brancion 75015 Paris France,supermarket,,Boulangerie 🥖#À faire
564,"BRAVO, la fabrique de pâtes","41 Rue des Jeuneurs, 75002 Paris, France",restaurant,Très bonne pâtes pour pas très cher dans un bon environnement + la panna cotta qui est succulente 😋,Pâtes 🍝#💸#Validé ✅
565,Big Joe soul food corner,"258 Boulevard Voltaire, 75011 Paris, France",restaurant,,Soul Food#Burger 🍔🍟#Validé ✅#💸💸
566,Galaxia 3,"58 Avenue de la République, 94120 Fontenay-sous-Bois",generic,,Boulangerie 🥖#Validé ✅#💸
567,Moulin de Chessy,19 Rue D'Ariane 77700 Chessy France,restaurant,,Pâtisseries#💸💸#Validé ✅
568,La Maison du Zéro Déchet,1 passage Emma Calvé Paris 75012,family,,Bio/Vegan#À faire
569,Dominique Saibron,77 Avenue du Général Leclerc 75014 Paris France,restaurant,,Boulangerie 🥖#À faire
570,Boulangerie Briard et Fils,37 Rue de Paris 78600 Maisons-Laffitte France,supermarket,,Boulangerie 🥖#À faire
571,Boulangerie Raphaelle,1 Rue Feutrier Paris France,supermarket,,Boulangerie 🥖#Validé ✅
572,Les Belles Envies,"3 Rue Monge, 75005 Paris, France",restaurant,,Pâtisseries#À faire
573,Solques Bruno,"243 Rue Saint-Jacques, 75005 Paris, France",supermarket,,Boulangerie 🥖#💸💸
574,Restaurant Pizza Kebab Ariane,"11 Rue de Boston, 67000 Strasbourg, France",restaurant,,Pizza 🍕#Grec 🥙#À faire
575,Tartelettes,"102 Rue Montmartre, 75002 Paris, France",restaurant,,Pâtisseries#À faire
576,Ö Classic,"3 Rue du Soleil, 67300 Schiltigheim",generic,,Grec 🥙#À faire
577,Henri Bouillet,"15 Place de la Croix-Rousse, 69004 Lyon, France",shopping,,Chocolaterie 🍫#Pâtisseries#À faire
578,Maison Auguste,215 Rue de Vaugirard 75015 Paris France,fastfood,,Restaurant#À faire
579,Anacoco,98 Boulevard d'Alsace-Lorraine 94170 Le Perreux-sur-Marne France,generic,,💸💸#Soul Food#Burger 🍔🍟#Validé ✅
580,SHINZO PARIS,"39 Rue Étienne Marcel, 75001 Paris, France",shopping_women,,Bazar#À faire
581,MAMAMIA PARIS,"5 bis Rue Vernet, 75008 Paris, France",restaurant,,Restaurant#À faire#TheFork 🍴
582,L'effiloché,"5 Rue du Centenaire, 93100 Montreuil",generic,,Sandwich 🥪#💸💸#Validé ✅#Florian On Air
583,Patisserie de Saison,"65 Avenue d'Ivry, 75013 Paris, France",supermarket,Les Perles Cocos 😋☺️,💸#Asiat#Validé ✅
584,Shinya Pain Montmartre,"41 Rue des Trois Frères, 75018 Paris, France",restaurant,,Boulangerie 🥖#À faire
585,BINICI,"18 Rue Chapon, 75003 Paris, France",supermarket,,Pâtisseries#À faire
586,À la Mère de Famille,"35, rue du Faubourg Montmartre, 75009 Paris",shopping,,💸💸#Chocolaterie 🍫#Validé ✅
587,La Grange à Pain,"12 Rue Mabillon, 75006 Paris, France",supermarket,,💸#Boulangerie 🥖#Validé ✅
588,French Soul Food,16 Rue Pierre Brossolette 93130 Noisy-le-Sec France,restaurant,,💸#Soul Food#Validé ✅
589,C’est Mon Donuts,"49 Rue du Chemin Vert, 75011 Paris, France",generic,Bon mais très sucré ,💸💸#Validé ✅
590,Wings and Chill,"70 Rue Alexandre Dumas, 75011 Paris",generic,,💸#Burger 🍔🍟#Poulet 🐔#Validé ✅
591,pita pit,"259 Rue du Faubourg Saint-Antoine, 75011 Paris, France",restaurant,,💸#Validé ✅#Bio/Vegan#TheFork 🍴
