name,address,city,postalCode,country,icon,userComment,tag1,tag2,tag3,tag4,tag5,tag6,tag7,coordinates
Fratelli,5bis Avenue de la Bolière,Orléans,45100, France,restaurant,,Snack,Tacos 🇫🇷,Grec 🥙,Burger 🍔🍟,Halal,💸,À faire,"[1.9343153, 47.83862269999999]"
Aladin Pizza,19 Avenue Lucien Cornet 89100 Sens France,,,,supermarket,,💸,Burger 🍔🍟,Halal,Snack,Pizza 🍕,À faire,,"[3.2742598, 48.19747220000001]"
Bricktop Pizza,153 Quai de Valmy Paris France,,,,restaurant,,💸,Pizza 🍕,Validé ✅,,,,,"[2.3655598, 48.8780483]"
Shiso Burger,21 Quai Saint-Michel,Paris,75005, France,fastfood,,💸💸,Burger 🍔🍟,Validé ✅,,,,,"[2.3453281, 48.85338050000001]"
Bistro&Gâteaux les Artizans,30 Rue Montorgueil,Paris,75001, France,bakery,,💸💸,Restaurant,Pâtisseries,À faire,TheFork 🍴,,,"[2.3466439, 48.8637614]"
THE FRENCH DONUTS,56 Rue la Bruyère,Paris,75009, France,donuts,,💸,Pâtisseries,À faire,,,,,"[2.331739299999999, 48.8801457]"
FTG,9 Rue du Nil,Paris,75002, France,restaurant,Possibilité de privatisation,💸,Hot-Dog 🌭,À faire,,,,,"[2.3477324, 48.8676916]"
Nick's Pizza,24 Rue du Faubourg Montmartre,Paris,75009, France,restaurant,,💸,Halal,Pizza 🍕,Validé ✅,RIP (Fermé definitivement),,,"[2.3430433, 48.8735105]"
Taiyaki Paris,Centre Commercial Oslo,Avenue,44, 75013 Paris,cafe,J’ai pris un taiyaki sucré goût crème vanille. Vraiment bon. (Japonais),Pâtisseries,Validé ✅,💸,Asiat,,,,"[2.3657049, 48.8235254]"
Hamler's Burgery,12 Rue Monge,Paris,75005, France,fastfood,,💸,Burger 🍔🍟,Validé ✅,RIP (Fermé definitivement),,,,"[2.3495963, 48.8490061]"
B-BOYZ,5 Avenue Trudaine,Paris,75009, France,fastfood,,💸💸,Burger 🍔🍟,À faire,,,,,"[2.3459911, 48.881691]"
Cloud Cakes,6 Rue Mandar,75002,Paris-2E-Arrondissement,,bakery,,💸,Pâtisseries,À faire,,,,,"[2.34635, 48.86567300000001]"
Maison de la Poutine - Mandar,11 Rue Mandar Paris 75002,,,,restaurant,,💸💸,Restaurant,À faire,,,,,"[2.34522, 48.8656626]"
Boulangerie Utopie,France,Rue,20, 75011 Paris,bakery,,💸💸💸,Boulangerie 🥖,,,,,,"[2.3687483, 48.86536979999999]"
Yann Couvreur Pâtisserie Rosiers,23 bis Rue des Rosiers 75004 Paris,,,,supermarket,,Pâtisseries,💸💸,Validé ✅,,,,,"[2.358768, 48.85750600000001]"
Du Pain et des Idées,34 Rue Yves Toudic,Paris,75010, France,bakery,,Boulangerie 🥖,🍴 inconnu,À faire,,,,,"[2.3628904, 48.8712453]"
Le Ruisseau Burger Joint,22 Rue Rambuteau,Paris,75003, France,fastfood,,💸💸,Burger 🍔🍟,Bio/Vegan,À faire,,,,"[2.3544339, 48.8609932]"
BO&MIE,18 Rue de Turbigo,Paris,75002, Francia,bakery,,💸,Pâtisseries,Boulangerie 🥖,Validé ✅,,,,"[2.3504098, 48.8640826]"
B. Bell broche,74 Rue de Turbigo,Paris,75003, France,restaurant,,💸,Sandwich 🥪,À faire,,,,,"[2.3608207, 48.86643929999999]"
CENTRAL PARC,42 Rue du Four,Saint-Maur-des-Fossés,94100, France,bakery,,💸💸,Burger 🍔🍟,Bio/Vegan,À faire,TheFork 🍴,,,"[2.4729085, 48.81235359999999]"
Le NordMarais,39 Rue Notre Dame de Nazareth,Paris,75003, France,bar,,💸💸,Burger 🍔🍟,À faire,,,,,"[2.3578076, 48.86747570000001]"
fish!,Borough Market,St,Cathedral, London SE1 9AL,restaurant,,Restaurant,Poisson 🐟,💸💸,À faire,,,,"[-0.0902806, 51.50574830000001]"
Pain Pain,88 Rue des Martyrs Paris France,,,,bakery,,Boulangerie 🥖,💸💸,Pâtisseries,Validé ✅,,,,"[2.3399433, 48.88345529999999]"
L'Echoppe de Paris,16 Rue Léon Frot,Paris,75011, France,fastfood,,💸💸,Burger 🍔🍟,À faire,TheFork 🍴,,,,"[2.387991099999999, 48.85396039999999]"
Bachir,58 Rue Rambuteau 75003 Paris France,,,,icecream,,💸,Libanais 🇱🇧,Validé ✅,Glaces 🍨🍦,,,,"[2.3515038, 48.8617818]"
Koreatown Galleria,3250 Olympic Blvd,Angeles,Los, CA 90006,shopping,,Restaurant,À faire,,,,,,"[-118.3081936, 34.052168]"
Dos Toros Taqueria,11 Carmine St,York,New, NY 10014,restaurant,,Restaurant,Hispanique,À faire,,,,,"[-74.00226669999999, 40.7305402]"
Farine&O,153 Rue du Faubourg Saint-Antoine,Paris,75011, France,bakery,,Boulangerie 🥖,💸,Validé ✅,,,,,"[2.3792563, 48.8506784]"
Cot Cot,21 Rue Gérando,75009,Paris,,fastfood,,💸,Burger 🍔🍟,Poulet 🐔,À faire,,,,"[2.3463406, 48.8829529]"
Mamiche,45 Rue Condorcet 75009 Paris France,,,,bakery,,💸💸,Boulangerie 🥖,Validé ✅,,,,,"[2.3435071, 48.8800657]"
Goku Asian Canteen,27 Bd du Temple,Paris,75003, France,restaurant,,💸💸,Asiat,Burger 🍔🍟,À faire,TheFork 🍴,,,"[2.3651968, 48.8650274]"
"Épicerie suédoise ""Affären""",80 Rue de Saussure,Paris,75017, France,shopping,,💸💸,Suédois 🇸🇪,Validé ✅,Epicierie Fine,,,,"[2.3134145, 48.88655]"
Manga Story,13 Boulevard Voltaire Paris France,,,,library,,Comics | Mangas,À faire,,,,,,"[2.3670596, 48.86583900000001]"
La Boulang' de Rosny,12 Place Carnot,Rosny-sous-Bois,93110, France,bakery,Les gâteaux sont délicieux !,💸💸,Boulangerie 🥖,Validé ✅,,,,,"[2.4830895, 48.8736459]"
Don Antonia,Rue de la Grange aux Belles,Paris,75010, France,bakery,"Vraiment bon pour des prix très abordables. Au top 🔝
(A été racheté par Canelas 🥲)",Pâtisseries,Portugal 🇵🇹,Validé ✅,💸,RIP (Fermé definitivement),,,"[2.3646421, 48.8733988]"
Nando's,The Gallery Stratford London E20 1 United Kingdom,,,,restaurant,,Poulet 🐔,Validé ✅,,,,,,"[-0.0059844, 51.54343009999999]"
Wendy's,335 5th Ave,York,New, NY 10016,restaurant,,Burger 🍔🍟,À faire,,,,,,"[-73.98483399999999, 40.7477751]"
Chip NYC,W 14th St,York,New, NY 10014,cafe,,Cookie 🍪,À faire,,,,,,"[-74.004787, 40.74087249999999]"
MasterTacos,80 Rue Paul Bert,Lyon,69003, France,restaurant,,💸,Tacos 🇫🇷,Grec 🥙,À faire,,,,"[4.8511364, 45.7568547]"
Chez.bogato,7 Rue Liancourt,Paris,75014, France,donuts,,💸💸,Pâtisseries,À faire,,,,,"[2.3279004, 48.8335505]"
coffeeserie,43 Rue de la Tête d'Or,Metz,57000, France,restaurant,,Salon de thé 🍵,Réservation,À faire,,,,,"[6.178622599999999, 49.1167026]"
Burger and Fries,1 Boulevard de Bonne Nouvelle,Paris,75002, France,fastfood,,💸,Burger 🍔🍟,Validé ✅,,,,,"[2.352397, 48.869565]"
La Felicità,5 Parvis Alan Turing Paris France,,,,restaurant,,💸💸,Big Mamma,Pizza 🍕,Burger 🍔🍟,Validé ✅,2️⃣,,"[2.3730124, 48.8321419]"
Brother’s Crêpes & Café,82 Boulevard de Rochechouart,Paris,75018, France,restaurant,,💸,Halal,Crêperie,À faire,,,,"[2.342941, 48.882831]"
Chez Coco,Square du Pelvoux,Vitry-sur-Seine,94400, France,restaurant,,Halal,Snack,🍴 inconnu,À faire,,,,"[2.3933391, 48.7831745]"
Best Halal,W 53rd St New York,10019,NY,,restaurant,,Halal,Maghreb/Moyen-Orient,À faire,,,,,"[-73.9793609, 40.76183350000001]"
El rey Del Taco Truck,3301 30th Ave,,Astoria, NY 11103,restaurant,,Hispanique,À faire,,,,,,"[-73.9193243, 40.7662194]"
Young xinjiang bbq cart,2 Forsyth St,York,New, NY 10002,restaurant,,Restaurant,À faire,,,,,,"[-73.99387109999999, 40.7136538]"
Van Leeuwen Artisan Ice Cream,48 E 7th St,York,New, NY 10003,icecream,,Glaces 🍨🍦,À faire,,,,,,"[-73.9876914, 40.7276926]"
Desi Food Truck,1221 Ave of the Americas,York,New, NY 10020,restaurant,Indien,Halal,Asiat,À faire,,,,,"[-73.9803913, 40.7602489]"
Hard Times Sundaes,5700 Avenue U,,Brooklyn, NY 11234,restaurant,,Burger 🍔🍟,💸,À faire,,,,,"[-73.9164586, 40.611972]"
Red Hook Lobster Pound,284 Van Brunt St,,Brooklyn, NY 11231,restaurant,,Restaurant,À faire,,,,,,"[-74.0103105, 40.6797578]"
HABANERA,Calle de Génova,,28, 28004 Madrid,restaurant,,Restaurant,À faire,,,,,,"[-3.6917744, 40.4253604]"
Chocolatería San Gines,Pasadizo San Ginés,,5, 28013 Madrid,generic,,Chocolaterie 🍫,À faire,,,,,,"[-3.7067806, 40.4167805]"
San Miguel Market,Plaza de San Miguel,,3, 28005 Madrid,restaurant,,Restaurant,À faire,,,,,,"[-3.7087575, 40.41511060000001]"
Restaurante Ten Con Ten,Cl. de Ayala,,6, 28001 Madrid,restaurant,,Restaurant,À faire,,,,,,"[-3.6887501, 40.42777580000001]"
Restaurante Casa Lucio,Calle Cava Baja,,35, BAJO,restaurant,,Restaurant,💸💸,À faire,,,,,"[-3.709716, 40.412064]"
Frida,Calle de San Gregorio 8,Madrid,Madrid,,restaurant,,Restaurant,💸💸,À faire,,,,,"[-3.697049499999999, 40.4239833]"
El Kiosko,Av. de Josep Tarradellas,,153, 08029 Barcelona,restaurant,,Restaurant,🍴 inconnu,À faire,,,,,"[2.143665, 41.39153400000001]"
Kiosko de Bacoa,Av. del Marquès de l'Argentera,bis,1, 08003 Barcelona,restaurant,,Restaurant,À faire,,,,,,"[2.1836997, 41.38350870000001]"
Santa Burg,Carrer del Vallespir,,51, 08014 Barcelona,restaurant,,Restaurant,À faire,,,,,,"[2.136761299999999, 41.37972909999999]"
BRO Room,Carrer de Còrsega,,562, 08025 Barcelona,restaurant,,Restaurant,💸,À faire,,,,,"[2.1736622, 41.4071164]"
Timesburg Paris,Carrer de París,,95, 08029 Barcelona,restaurant,,Restaurant,À faire,TheFork 🍴,,,,,"[2.1468417, 41.38909020000001]"
DE PAULA - L´HAMBURGUESERIA DEL POBLE SEC,Carrer de la Creu dels Molers,,65, 08004 Barcelona,restaurant,,💸,Burger 🍔🍟,À faire,,,,,"[2.16135, 41.372399]"
Pim Pam Plats,Carrer del Rec,08003,18, Santa Caterina,restaurant,,Restaurant,À faire,,,,,,"[2.1823945, 41.38573]"
Makamaka,Passeig de Joan de Borbó Comte de Barcelona,,76, 08039 Barcelona,restaurant,,Restaurant,À faire,,,,,,"[2.188563900000001, 41.3757436]"
KERB Camden Market,Camden Market,Lock,Camden, London NW1 8AF,restaurant,,Restaurant,🍴 inconnu,À faire,,,,,"[-0.146438, 51.541307]"
Jardin des artistes,93160 Noisy-le-Grand,,France,,beach,,Parcs,,,,,,,"[2.5513508, 48.84507000000001]"
Pink Mamma,20 Rue de Douai,Paris,75009, France,restaurant,,Big Mamma,Restaurant,💸💸,À faire,2️⃣,,,"[2.334484, 48.8819398]"
MELT OBERKAMPF,74 Rue Folie Méricourt,75011,Paris,,restaurant,,💸💸,Viande,Restaurant,À faire,,,,"[2.3708026, 48.8656108]"
Oh mon Cake,154 Rue Saint-Honoré,Paris,75001, France,restaurant,,Pâtisseries,💸💸,À faire,,,,,"[2.34013, 48.86203669999999]"
Boulangerie JOSEPH,42 Rue des Petits Champs,Paris,75002, France,restaurant,,Pâtisseries,🍴 inconnu,,,,,,"[2.3348948, 48.8673042]"
DE BELLES MANIERES,5 Rue de Turbigo,Paris,75001, France,restaurant,,Pâtisseries,Boulangerie 🥖,💸💸,Validé ✅,,,,"[2.3478127, 48.8637293]"
246,Pont de Créteil,Saint-Maur-des-Fossés,94100, France,generic,,💸,Grec 🥙,Halal,Validé ✅,,,,"[2.449918899999999, 48.7896139]"
La Folie du Burger,5 Avenue de Toulon,Marseille,13006, France,restaurant,,💸,Burger 🍔🍟,À faire,,,,,"[5.382153799999999, 43.28852800000001]"
Homer Lobster - Rambuteau,21 Rue Rambuteau,Paris,75004, France,restaurant,,💸,Restaurant,Poisson 🐟,,,,,"[2.3547084, 48.8607329]"
Le Special,2 Rue de la Paix 94600 Choisy-le-Roi France,,,,restaurant,J’ai pris un wich. Vraiment bon et pas cher. Pour 7€ t’es rassasié pour le reste de la journée.,💸,Grec 🥙,Halal,Validé ✅,,,,"[2.419605299999999, 48.7682671]"
Papa Gâteau Sarl,27 Rue de Montreuil,Vincennes,94300, France,restaurant,,💸💸,Boulangerie 🥖,À faire,,,,,"[2.434558500000001, 48.848278]"
Le Mont Liban,42 Boulevard des Batignolles,Paris,75017, France,restaurant,,Libanais 🇱🇧,💸💸,À faire,,,,,"[2.322991500000001, 48.8828725]"
Le Must,45 Boulevard de Stalingrad,Vitry-sur-Seine,94400, France,restaurant,,💸,Grec 🥙,À faire,,,,,"[2.3826919, 48.796858]"
Pizza de ouf,10 Rue des Gardes,Paris,75018, France,restaurant,,💸,Pâtes 🍝,Pizza 🍕,À faire,,,,"[2.352984, 48.88553599999999]"
PNY Marais,1 Rue Perrée,Paris,75003, France,restaurant,👌🏾,Validé ✅,Burger 🍔🍟,💸💸,,,,,"[2.362641, 48.86379410000001]"
Buns Paris 5,8 Rue Gay-Lussac,Paris,75005, France,restaurant,,💸,Burger 🍔🍟,,,,,,"[2.3412396, 48.8456096]"
El Guacamole,35 Rue Yves Toudic ,,Paris,,restaurant,,💸,Hispanique,À faire,,,,,"[2.362184, 48.87136479999999]"
Boulangerie au Blé d'Or,Rue du Marché 93160 Noisy-le-Grand France,,,,supermarket,,Boulangerie 🥖,💸,Pâtisseries,Validé ✅,,,,"[2.55375, 48.8484447]"
Pizzeria Iovine's,7bis Rue du Colonel Driant,75001,Paris,,restaurant,,Pizza 🍕,💸💸,À faire,,,,,"[2.3402909, 48.8632743]"
Iovine’S Marais,27 Rue de Bretagne Paris France,,,,restaurant,,💸💸,Pizza 🍕,À faire,,,,,"[2.362919499999999, 48.8625702]"
Makido,178 Avenue Jean Jaurès 75019 Paris France,,,,fastfood,,💸💸,Halal,Asiat,Validé ✅,,,,"[2.3898925, 48.8878126]"
Pizzou,28 Rue de Douai,75009,Paris,,restaurant,,💸💸,Pizza 🍕,Validé ✅,TheFork 🍴,2️⃣,,,"[2.332935599999999, 48.8825795]"
Maison Plisson,93 Bd Beaumarchais,75003,Paris,,restaurant,,Epicierie Fine,💸💸,À faire,,,,,"[2.3672909, 48.8595592]"
Berko,23 Rue Rambuteau,Paris,75004, France,restaurant,Si vous y allez prenez les cupcakes pas les cheesecakes.,💸💸,Fait ✔️,Pâtisseries,,,,,"[2.3545182, 48.8607614]"
Le Comptoir de Mathilde,42 Rue Rambuteau 75003 Paris France,,,,supermarket,,Epicierie Fine,Chocolaterie 🍫,À faire,,,,,"[2.352897099999999, 48.86145249999999]"
IT Rambuteau,77 Rue Rambuteau,Paris,75001, France,restaurant,,💸,Pizza 🍕,À faire,,,,,"[2.3495214, 48.86223779999999]"
Parfume Nicolai,45 Rue des Archives 75003 Paris France,,,,shopping,,Parfumerie,💸💸💸,À faire,,,,,"[2.3571074, 48.86042769999999]"
OBU - Organisation des Burgers Unis,200 Rue du Faubourg Saint-Martin,Paris,75010, France,restaurant,,💸💸,Burger 🍔🍟,À faire,,,,,"[2.3632435, 48.8792757]"
Le Valentin,30 Passage Jouffroy,Paris,75009, France,cafe,,Pâtisseries,À faire,,,,,,"[2.34222, 48.872347]"
La Rose de Tunis,67 Boulevard de Belleville 75011 Paris France,,,,supermarket,,Maghreb/Moyen-Orient,Pâtisseries,À faire,,,,,"[2.3782923, 48.8705424]"
Pizza Momo,105 Rue Saint-Antoine,Paris,75004, France,restaurant,,💸💸,Pizza 🍕,À faire,,,,,"[2.3612398, 48.85492190000001]"
Al-Ajami,58 Rue François 1er,Paris,75008, France,restaurant,,💸💸,Libanais 🇱🇧,À faire,TheFork 🍴,,,,"[2.3021490573883057, 48.869834899902344]"
Les Deux Abeilles,189 Rue de l'Université,Paris,75007, France,restaurant,,À faire,Restaurant,,,,,,"[2.3005736, 48.8607799]"
Yokohama,6 Rue Joubert,Paris,75009, France,restaurant,Japonais,Asiat,💸💸,À faire,TheFork 🍴,,,,"[2.3318099, 48.87479119999999]"
Chiken Time's,96 Rue Albert Menier,Noisiel,77186, France,restaurant,,💸,Tacos 🇫🇷,Grec 🥙,À faire,,,,"[2.6285328, 48.8508241]"
Candy crepe,27 Avenue Ampère,Champs-sur-Marne,77420, France,restaurant,,💸,Crêperie,À faire,,,,,"[2.5844548, 48.84138919999999]"
Hall' Food,41 Allée Parmentier 94000 Créteil France,,,,fastfood,,💸,Halal,Grec 🥙,À faire,,,,"[2.444577, 48.7870537]"
Schwartz's Deli,22 Avenue Niel,Paris,75017, France,restaurant,,💸💸,Restaurant,Burger 🍔🍟,À faire,,,,"[2.2954208, 48.8804516]"
Le Baïli Création Burger & Tex Mex Halal,29 Rue Saint-Blaise,Paris,75020, France,restaurant,,💸💸,Restaurant,TheFork 🍴,,,,,"[2.4056591, 48.85914959999999]"
Emirates Coffee,41 Boulevard des Provinces Françaises,Nanterre,92000, France,restaurant,,💸,Burger 🍔🍟,Tacos 🇫🇷,Halal,Validé ✅,,,"[2.2167177, 48.9013359]"
Brother's Crêpes & Café,1 Avenue Marceau 92400 Courbevoie France,,,,fastfood,,💸,Crêperie,Halal,À faire,,,,"[2.2471549, 48.89794699999999]"
Restaurant Delice Blankok,177 Rue Maxime Gorki 93150 Le Blanc-Mesnil France,,,,supermarket,,Grec 🥙,💸,À faire,,,,,"[2.451496833629603, 48.94526335485948]"
MG Fast Food,10 Place de,Sarcelles,95200, France,restaurant,,Grec 🥙,💸,À faire,,,,,"[2.3706662, 48.99031779999999]"
Spirit Cafe,11 Rue Rameau,Paris,75002, France,restaurant,,Restaurant,💸💸,À faire,,,,,"[2.337015999999999, 48.867822]"
SO Thai,62 Rue du Capitaine Guynemer 92400 Courbevoie France,,,,restaurant,Thaïlandais,💸,Asiat,À faire,,,,,"[2.2458083, 48.8967585]"
Crep's Crew,1 Rue du Helder,Paris,75009, France,shopping,,💸,Crêperie,À faire,,,,,"[2.3346517, 48.871342]"
Asian Touch,211 Rue Saint-Maur,Paris,75010, France,restaurant,,💸,Asiat,Halal,À faire,,,,"[2.3709824, 48.8727378]"
Mamma Primi,71 Rue des Dames,Paris,75017, France,restaurant,,💸💸,Big Mamma,À faire,Pizza 🍕,,,,"[2.3205883, 48.883516]"
La Bibimerie - Restaurant Franco-Coréen,1 rue lucien sampaix,75010,Paris,,restaurant,,💸💸,Asiat,À faire,TheFork 🍴,,,,"[2.359683899999999, 48.8708919]"
Cô My Cantine,18 Rue de Menilmontant,Paris,75020, France,restaurant,,💸💸,Asiat,À faire,TheFork 🍴,,,,"[2.3846907, 48.8673782]"
LA BRASSERIE,50 Boulevard Ornano,Saint-Denis,93200, France,restaurant,,💸💸,Halal,Pâtes 🍝,Burger 🍔🍟,Restaurant,À faire,,"[2.3438754, 48.91470629999999]"
Privé de dessert,4 Rue Lallier,Paris,75009, France,restaurant,,💸💸,Restaurant,À faire,Zenchef,2️⃣,,,"[2.341184799999999, 48.88145839999999]"
All Five,242 Rue de Crimée,Paris-19E-Arrondissement,75019, France,restaurant,,💸,Pizza 🍕,À faire,,,,,"[2.3731079, 48.8945581]"
Il Posto,356 rue des pyrénées,75020,Paris,,restaurant,,💸💸,Pizza 🍕,À faire,,,,,"[2.3863969, 48.8740012]"
Le Bobo,65 Avenue Michelet,Saint-Ouen,93400, France,restaurant,,💸,Burger 🍔🍟,🍴 inconnu,À faire,,,,"[2.344530299999999, 48.9078246]"
Pontochoux,18 Rue du Pont aux Choux,Paris,75003, France,restaurant,,💸💸,Asiat,À faire,,,,,"[2.365092799999999, 48.86131889999999]"
4 Saisons,90 Rue de Provence,Paris,75009, France,restaurant,,Asiat,🍴 inconnu,À faire,,,,,"[2.330202899999999, 48.8743097]"
Aki Boulanger,16 Rue Sainte-Anne,Paris,75001, France,restaurant,,💸💸,Boulangerie 🥖,Pâtisseries,Validé ✅,,,,"[2.3355537, 48.866097]"
L'as Tacos,4 Rue Louis Blanc,Nantes,44200, France,restaurant,,Tacos 🇫🇷,🍴 inconnu,À faire,,,,,"[-1.5552547, 47.207125]"
La capitale,22 Avenue Pasteur,Tremblay-en-France,93290, France,restaurant,,Grec 🥙,🍴 inconnu,À faire,,,,,"[2.5731581, 48.9420063]"
A La Flûte Enchantée,7 Avenue Mozart,Paris,75016, France,restaurant,,💸💸,Boulangerie 🥖,À faire,,,,,"[2.2739164, 48.85774989999999]"
Sanukiya,9 Rue d'Argenteuil,Paris,75001, France,restaurant,,Asiat,🍴 inconnu,À faire,,,,,"[2.333787, 48.864718]"
NINA'S,29 Rue Danielle Casanova,Paris,75001, France,cafe,,💸💸,Salon de thé 🍵,À faire,2️⃣,,,,"[2.3311776, 48.8680202]"
Piconi,3-1 Rue Julien Mira,Aulnay-sous-Bois,93600, France,restaurant,,💸,Snack,À faire,,,,,"[2.4924458, 48.9318471]"
Arrivederci pizzeria,47 Rue Gay-Lussac,Paris,75005, France,restaurant,,💸💸,À faire,Pizza 🍕,TheFork 🍴,,,,"[2.343495, 48.841716]"
Jimmy 2 fois,15 Rue Letort Paris 75018,,,,restaurant,,Pizza 🍕,💸💸,Validé ✅,TheFork 🍴,,,,"[2.3429737, 48.8943618]"
Cinq Fois Plus,170 Rue Saint-Martin,Paris,75003, France,restaurant,Chinois,💸,À faire,Asiat,,,,,"[2.3521941, 48.8623127]"
Rachel,Rue du Marché au Charbon 100,Bruxelles,1000, Belgique,restaurant,,🍴 inconnu,Burger 🍔🍟,À faire,,,,,"[4.3475416, 50.84531929999999]"
La Place Verte,105 Rue Oberkampf Paris France,,,,restaurant,,Café,💸💸,À faire,,,,,"[2.3776617, 48.8658772]"
Chez Justine,96 Rue Oberkampf,Paris,75011, France,restaurant,,💸💸,Trinity Group,À faire,Pizza 🍕,,,,"[2.377854999999999, 48.8656838]"
LES TRIPLETTES,102 Boulevard de Belleville,Paris,75020, France,restaurant,,💸💸,Trinity Group,À faire,Burger 🍔🍟,,,,"[2.3789947, 48.87055849999999]"
Tripletta Belleville,88 Bd de Belleville,Paris,75020, France,restaurant,,💸💸,Trinity Group,Pizza 🍕,À faire,,,,"[2.3794311, 48.87026909999999]"
John Viande,7b Rue de Paradis,Paris,75010, France,restaurant,,Burger 🍔🍟,Validé ✅,💸💸,,,,,"[2.3543152, 48.8745346]"
Pizzeria Tripletta Saint Michel,30 Place Meynard,Bordeaux,33800, France,restaurant,,Trinity Group,À faire,,,,,,"[-0.566713, 44.83471919999999]"
Le Cèdre,6 Rue Mouffetard,Paris,75005, France,restaurant,,Libanais 🇱🇧,🍴 inconnu,À faire,,,,,"[2.3491149, 48.84473329999999]"
Ricci Eiffel,73 Avenue Bosquet 75007 Paris France,,,,restaurant,,Restaurant,💸💸,À faire,,,,,"[2.30538, 48.8556178]"
Tomo,11 Rue Chabanais,Paris,75002, France,cafe,Japonais,Pâtisseries,Asiat,À faire,💸💸,Salon de thé 🍵,,,"[2.3368502, 48.8676336]"
Bulliz,14 Rue d'Hauteville,Paris,75010, France,restaurant,,🍴 inconnu,Pâtisseries,À faire,,,,,"[2.3499713, 48.87154949999999]"
MARDI CREPE CLUB,137 Rue Montmartre,Paris,75002, France,shopping,,💸,Crêperie,Validé ✅,,,,,"[2.342609, 48.869885]"
Louie Louie,78 Rue de Charonne,75011,Paris,,restaurant,,💸💸,Pizza 🍕,Validé ✅,,,,,"[2.3803633, 48.8535006]"
L'équilibre,29 Boulevard Malesherbes,Paris,75008, France,restaurant,,Restaurant,💸💸,À faire,,,,,"[2.3210219, 48.8726502]"
Crêperie Gigi,4 Rue de la Corderie,Paris,75003, France,restaurant,,À faire,💸💸,Crêperie,,,,,"[2.3633335, 48.8648003]"
Rivoluzione,24 Rue des Taillandiers,Paris,75011, France,restaurant,,🍴 inconnu,Pizza 🍕,À faire,,,,,"[2.374781, 48.8554168]"
Umami Matcha Cafe,22 Rue Béranger Paris France,,,,restaurant,,Café,💸💸,Asiat,À faire,,,,"[2.3636103, 48.8665548]"
Gallika Madeleine - Restaurant grec,7 Rue Godot de Mauroy,75009,Paris,,restaurant,,💸💸,Grec 🇬🇷,À faire,,,,,"[2.326708500000001, 48.8706598]"
L'Alsacien Châtelet,6 rue saint bon,75004,Paris,,restaurant,,Restaurant,💸,À faire,TheFork 🍴,,,,"[2.3505942, 48.8582883]"
Pasta Linea,9 Rue de Turenne,Paris,75004, France,restaurant,,🍴 inconnu,Pâtes 🍝,À faire,,,,,"[2.3633801, 48.85533150000001]"
Da Vito,5 Rue Sedaine,75011,Paris,,restaurant,,Pizza 🍕,À faire,,,,,,"[2.3712284, 48.8556617]"
We are Juice,34 Rue des Jeuneurs,Paris,75002, France,restaurant,,💸💸,Sandwich 🥪,À faire,,,,,"[2.3445686, 48.86967]"
Clasico Argentino Marais,56 Rue de Saintonge,Paris,75003, France,restaurant,,💸💸,Hispanique,,,,,,"[2.364109, 48.863031]"
Sugarplum Cake Shop,68 Rue du Cardinal Lemoine Paris France,,,,supermarket,,Café,🍴 inconnu,À faire,,,,,"[2.3498565, 48.84532069999999]"
Croccante,138 Rue de Vaugirard,Paris,75015, France,restaurant,,Restaurant,🍴 inconnu,Epicierie,Italien 🇮🇹,À faire,,,"[2.3186119, 48.84482089999999]"
CREPOLOG,21 Rue Neuve Saint-Pierre,Paris,75004, France,shopping,,💸💸,Crêperie,Validé ✅,,,,,"[2.3624495, 48.8540143]"
Yingdeaw homemade,Siam Square Soi 5 Pathumwan Bangkok,ปทุมวัน,แขวง, Thaïlande,restaurant,,Pâtisseries,À faire,,,,,,"[100.5342633, 13.7444513]"
Murray's Bagels,500 Avenue of the Americas,York,New, NY 10011,restaurant,,Sandwich 🥪,💸💸,À faire,,,,,"[-73.9972943, 40.7363873]"
Bio Sphère Café,47 Rue de Laborde,Paris,75008, France,shopping,,Café,Bio/Vegan,💸💸,À faire,,,,"[2.3178037, 48.8754492]"
Maison Aleph,20 Rue de la Verrerie,Paris,75004, France,restaurant,,Pâtisseries,💸💸,À faire,,,,,"[2.3547866, 48.8573944]"
Magnolia Bakery,1240 6th Ave New York,10020,NY,,supermarket,,Pâtisseries,💸💸,À faire,,,,,"[-73.98055760000001, 40.75926889999999]"
Maison Dandoy - Galeries,BeenhouwersStraat Brussels Belgium,,,,supermarket,,Pâtisseries,💸💸,À faire,,,,,"[4.351577999999999, 50.847419]"
Délices Magic Beau Gosse,25 Boulevard des Alliés,Caen,14000, France,restaurant,,💸,Grec 🥙,Halal,Validé ✅,,,,"[-0.3593939000000001, 49.1843961]"
Shake Shack,Bloomsbury Plaza,New,56B, London WC1A 1ES,restaurant,,Burger 🍔🍟,Validé ✅,,,,,,"[-0.122506, 51.511818]"
Mark Toney & Co Ltd,53 Grainger St,upon,Newcastle, Royaume-Uni,cafe,,Restaurant,À faire,,,,,,"[-1.615651199999999, 54.9709239]"
Heart Attack Grill,450 Fremont St Las Vegas,89101,NV,,fastfood,,Burger 🍔🍟,Florian On Air,À faire,,,,,"[-115.1407514, 36.169458]"
R&G Lounge,631 Kearny St,Francisco,San, CA 94108,restaurant,,Restaurant,Florian On Air,Poisson 🐟,À faire,,,,"[-122.4049463, 37.7941442]"
