name,address,city,postalCode,country,icon,userComment,tag1,tag2,tag3,tag4,tag5,tag6,tag7,coordinates
Ober Mamma,107 Boulevard Richard-Lenoir,Paris,75011, France,restaurant,Une des meilleure pizza que j’ai pu manger de ma vie.,Pizza 🍕,Validé ✅,Big Mamma,💸💸,,,,"[2.3701153, 48.8644444]"
East Mamma,133 Rue du Faubourg Saint-Antoine,75011,Paris,,restaurant,,💸💸,Big Mamma,Pizza 🍕,À faire,,,,"[2.3777799, 48.8510418]"
Little Baobei,7 Rue de Châteaudun,Paris,75009, France,fastfood,,💸💸,Burger 🍔🍟,Halal,Validé ✅,,,,"[2.3414088, 48.8756732]"
ROOMIES,14 Rue du Cygne,Paris,75001, France,fastfood,,Burger 🍔🍟,💸💸,,,,,,"[2.3485865, 48.86345300000001]"
Le Constantinople,96 Avenue de Fontainebleau,Le,94270, France,restaurant,La viande du grec est bonne mais l’ensemble n’est pas exceptionnel,Burger 🍔🍟,Grec 🥙,Fait ✔️,💸,,,,"[2.3619287, 48.8102681]"
Harry's Cafe,27 Rue Jules Guesde 93140 Bondy France,,,,fastfood,,💸,Burger 🍔🍟,À faire,,,,,"[2.4765999, 48.9040115]"
Pizza San Marco Paris,52 Rue Saint-Maur 75011 Paris France,,,,fastfood,,💸,Pizza 🍕,À faire,,,,,"[2.3798344, 48.8625999]"
Pho Bida Viet Nam,36-38 Rue nationale,Paris,75013, France,restaurant,Vietnamien,Asiat,🍴 inconnu,À faire,,,,,"[2.3680862, 48.82428880000001]"
CLUBURGER,14 Place de la Barre,Deuil-la-Barre,95170, France,restaurant,,💸💸,Burger 🍔🍟,À faire,,,,,"[2.3171168, 48.9674151]"
Meal Time,35 Avenue de Clichy,Paris,75017, France,restaurant,,Burger 🍔🍟,Grec 🥙,💸,,,,,"[2.3260492, 48.8860928]"
Rosaparks,46 Rue Jean-Pierre Timbaud,Paris,75011, France,fastfood,,💸💸,Burger 🍔🍟,À faire,TheFork 🍴,,,,"[2.372345, 48.866297]"
Mac Halal Restaurant,46 Avenue Louis Aragon,Bobigny,93000, France,restaurant,,💸,Burger 🍔🍟,Grec 🥙,Halal,À faire,,,"[2.4400426, 48.9142637]"
5PIZZ,30 Rue Marx Dormoy,Paris,75018, France,restaurant,,💸,Pizza 🍕,À faire,,,,,"[2.3597531, 48.8865985]"
Bioburger Victoire,10 Rue de la Victoire,Paris,75009, France,fastfood,,💸,Burger 🍔🍟,Bio 👨‍🌾,Vege/Vegan 🌱,Validé ✅,,,"[2.3400987, 48.8750909]"
Le Miam's,Mail des Mèches 94000 Créteil France,,,,fastfood,,💸,Grec 🥙,Burger 🍔🍟,Halal,Validé ✅,,,"[2.4496799, 48.78946570000001]"
Pépé Santana Paris 15,171 Boulevard Lefebvre,Paris,75015, France,restaurant,,Burger 🍔🍟,Grec 🥙,💸,À faire,,,,"[2.301956300000001, 48.8286914]"
Gout Doux,97 Avenue d'Argenteuil 92600 Asnières-sur-Seine France,,,,fastfood,,💸,À faire,Grec 🥙,,,,,"[2.2828647, 48.9149137]"
Villa Maasai - Restaurant Africain,9 Boulevard des Italiens,75002,Paris,,restaurant,,💸💸,Africain,À faire,,,,,"[2.3385767, 48.8715407]"
